benchmark,solver,status,cpu time,wallclock time,memory usage,result,exprs-details,syntax-error,adheres,smt-result,exprs-total-size,correct,,,
General-Track/array_search_6.sl,sygus-sketch-new-bug-fix,complete,749.273,722.537,34900000,correct,(findIdx 31),-,1,sat,31,1,,,
General-Track/array_search_6.sl,Enumerative Solver,timeout (cpu),3600.08,3598.31,508364,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_6.sl,Sosy Toast,timeout (cpu),3600.11,3596.52,782028,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_6.sl,Sosy Toast Variant 2,timeout (wallclock),3595.55,3600.02,783008,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_6.sl,stoch-2015-06-23-00-02,timeout (cpu),3600.09,3599.04,13900000,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_7.sl,CVC4-1.5-syguscomp2015-v4,complete,0.146976,0.13868,106088,correct,(findIdx 3311),-,1,sat,3311,1,,,
General-Track/array_search_7.sl,sketch-ac-tmp,complete,152.424,93.0941,35200000,correct,(findIdx 36),-,1,sat,36,1,,,
General-Track/array_search_7.sl,sygus-sketch-new-bug-fix,complete,931.925,879.686,34900000,correct,(findIdx 36),-,1,sat,36,1,,,
General-Track/array_search_7.sl,Enumerative Solver,timeout (cpu),3600.07,3598.61,530844,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_7.sl,Sosy Toast,timeout (wallclock),3596.43,3600.03,818412,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_7.sl,Sosy Toast Variant 2,timeout (wallclock),3594.45,3600.03,774352,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_7.sl,stoch-2015-06-23-00-02,timeout (cpu),3600.02,3598.91,13900000,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_8.sl,CVC4-1.5-syguscomp2015-v4,complete,0.234963,0.208457,106088,correct,(findIdx 9006),-,1,sat,9006,1,,,
General-Track/array_search_8.sl,sketch-ac-tmp,complete,1222.58,636.48,35800000,wrong,(findIdx 56),-,1,unsat,56,0,,,
General-Track/array_search_8.sl,Enumerative Solver,timeout (cpu),3600.02,3598.51,889472,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_8.sl,Sosy Toast,timeout (wallclock),3593.36,3600.03,830296,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_8.sl,Sosy Toast Variant 2,timeout (wallclock),3594.62,3600.02,806892,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_8.sl,stoch-2015-06-23-00-02,timeout (cpu),3600.01,3599.01,13800000,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_8.sl,sygus-sketch-new-bug-fix,timeout (cpu),3600.07,3468.13,35100000,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_9.sl,CVC4-1.5-syguscomp2015-v4,complete,0.352945,0.298371,106088,correct,(findIdx 18371),-,1,sat,18371,1,,,
General-Track/array_search_9.sl,Enumerative Solver,timeout (cpu),3600.1,3598.61,6148372,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_9.sl,sketch-ac-tmp,memout,26.334,21.9589,68700000,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_9.sl,Sosy Toast,timeout (wallclock),3595.27,3600.02,724460,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_9.sl,Sosy Toast Variant 2,timeout (wallclock),3596.46,3600.02,727088,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_9.sl,stoch-2015-06-23-00-02,timeout (cpu),3600.08,3598.42,13300000,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_9.sl,sygus-sketch-new-bug-fix,timeout (cpu),3600.01,3462.13,35100000,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_10_15.sl,CVC4-1.5-syguscomp2015-v4,complete,19.414,16.8093,345568,correct,(findSum 870609),-,1,sat,870609,1,,,
General-Track/array_sum_10_15.sl,Enumerative Solver,timeout (cpu),3600.02,3598.71,4571936,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_10_15.sl,sketch-ac-tmp,timeout (wallclock),7143.49,3600.09,36800000,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_10_15.sl,Sosy Toast,timeout (cpu),3600.03,3598.51,381940,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_10_15.sl,Sosy Toast Variant 2,timeout (cpu),3600.03,3598.51,381940,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_10_15.sl,stoch-2015-06-23-00-02,timeout (cpu),3600.02,3599.51,224220,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
